state_name1,state_name2,state_name1_alpha_3,state_name2_alpha_3,y,x,yend,xend,pairs,n
El Salvador,Chile,SLV,CHL,13.83333333,-88.91666666,-30,-71,El Salvador-Chile,76
El Salvador,Argentina,SLV,ARG,13.83333333,-88.91666666,-34,-64,El Salvador-Argentina,76
El Salvador,Uruguay,SLV,URY,13.83333333,-88.91666666,-33,-56,El Salvador-Uruguay,76
Nicaragua,Panama,NIC,PAN,13,-85,9,-80,Nicaragua-Panama,86
Nicaragua,Colombia,NIC,COL,13,-85,4,-72,Nicaragua-Colombia,79
Nicaragua,Ecuador,NIC,ECU,13,-85,-2,-77.5,Nicaragua-Ecuador,79
Nicaragua,Peru,NIC,PER,13,-85,-10,-76,Nicaragua-Peru,79
Nicaragua,Brazil,NIC,BRA,13,-85,-10,-55,Nicaragua-Brazil,79
Nicaragua,Paraguay,NIC,PRY,13,-85,-23,-58,Nicaragua-Paraguay,79
Nicaragua,Chile,NIC,CHL,13,-85,-30,-71,Nicaragua-Chile,79
Nicaragua,Argentina,NIC,ARG,13,-85,-34,-64,Nicaragua-Argentina,79
Nicaragua,Uruguay,NIC,URY,13,-85,-33,-56,Nicaragua-Uruguay,79
Costa Rica,Panama,CRI,PAN,10,-84,9,-80,Costa Rica-Panama,86
Costa Rica,Colombia,CRI,COL,10,-84,4,-72,Costa Rica-Colombia,79
Costa Rica,Ecuador,CRI,ECU,10,-84,-2,-77.5,Costa Rica-Ecuador,79
Costa Rica,Peru,CRI,PER,10,-84,-10,-76,Costa Rica-Peru,79
Costa Rica,Brazil,CRI,BRA,10,-84,-10,-55,Costa Rica-Brazil,79
Costa Rica,Paraguay,CRI,PRY,10,-84,-23,-58,Costa Rica-Paraguay,79
Costa Rica,Chile,CRI,CHL,10,-84,-30,-71,Costa Rica-Chile,79
Costa Rica,Argentina,CRI,ARG,10,-84,-34,-64,Costa Rica-Argentina,79
Costa Rica,Uruguay,CRI,URY,10,-84,-33,-56,Costa Rica-Uruguay,79
Panama,Colombia,PAN,COL,9,-80,4,-72,Panama-Colombia,79
Panama,Ecuador,PAN,ECU,9,-80,-2,-77.5,Panama-Ecuador,79
Panama,Peru,PAN,PER,9,-80,-10,-76,Panama-Peru,79
Panama,Brazil,PAN,BRA,9,-80,-10,-55,Panama-Brazil,79
Panama,Paraguay,PAN,PRY,9,-80,-23,-58,Panama-Paraguay,79
Panama,Chile,PAN,CHL,9,-80,-30,-71,Panama-Chile,79
Panama,Argentina,PAN,ARG,9,-80,-34,-64,Panama-Argentina,79
Panama,Uruguay,PAN,URY,9,-80,-33,-56,Panama-Uruguay,79
Colombia,Peru,COL,PER,4,-72,-10,-76,Colombia-Peru,79
Colombia,Brazil,COL,BRA,4,-72,-10,-55,Colombia-Brazil,79
Colombia,Paraguay,COL,PRY,4,-72,-23,-58,Colombia-Paraguay,79
Colombia,Chile,COL,CHL,4,-72,-30,-71,Colombia-Chile,79
Colombia,Argentina,COL,ARG,4,-72,-34,-64,Colombia-Argentina,79
Colombia,Uruguay,COL,URY,4,-72,-33,-56,Colombia-Uruguay,79
Ecuador,Brazil,ECU,BRA,-2,-77.5,-10,-55,Ecuador-Brazil,79
Ecuador,Paraguay,ECU,PRY,-2,-77.5,-23,-58,Ecuador-Paraguay,79
Ecuador,Argentina,ECU,ARG,-2,-77.5,-34,-64,Ecuador-Argentina,79
Ecuador,Uruguay,ECU,URY,-2,-77.5,-33,-56,Ecuador-Uruguay,79
Peru,Brazil,PER,BRA,-10,-76,-10,-55,Peru-Brazil,79
Peru,Paraguay,PER,PRY,-10,-76,-23,-58,Peru-Paraguay,79
Peru,Argentina,PER,ARG,-10,-76,-34,-64,Peru-Argentina,79
Peru,Uruguay,PER,URY,-10,-76,-33,-56,Peru-Uruguay,79
Brazil,Paraguay,BRA,PRY,-10,-55,-23,-58,Brazil-Paraguay,79
Brazil,Chile,BRA,CHL,-10,-55,-30,-71,Brazil-Chile,79
Paraguay,Chile,PRY,CHL,-23,-58,-30,-71,Paraguay-Chile,79
Paraguay,Uruguay,PRY,URY,-23,-58,-33,-56,Paraguay-Uruguay,79
Chile,Argentina,CHL,ARG,-30,-71,-34,-64,Chile-Argentina,142
Chile,Uruguay,CHL,URY,-30,-71,-33,-56,Chile-Uruguay,79
Turkey,Iraq,TUR,IRQ,39,35,33,44,Turkey-Iraq,24
Iraq,Afghanistan,IRQ,AFG,33,44,33,65,Iraq-Afghanistan,19
United Kingdom,Greece,GBR,GRC,54,-2,39,22,United Kingdom-Greece,86
United Kingdom,Bulgaria,GBR,BGR,54,-2,43,25,United Kingdom-Bulgaria,3
France,Greece,FRA,GRC,46,2,39,22,France-Greece,86
France,Bulgaria,FRA,BGR,46,2,43,25,France-Bulgaria,3
France,Egypt,FRA,EGY,46,2,27,30,France-Egypt,3
Greece,Egypt,GRC,EGY,39,22,27,30,Greece-Egypt,3
Bulgaria,Romania,BGR,ROU,43,25,46,25,Bulgaria-Romania,83
Bulgaria,Egypt,BGR,EGY,43,25,27,30,Bulgaria-Egypt,3
Romania,Egypt,ROU,EGY,46,25,27,30,Romania-Egypt,3
Turkey,Egypt,TUR,EGY,39,35,27,30,Turkey-Egypt,3
United Kingdom,Poland,GBR,POL,54,-2,52,20,United Kingdom-Poland,18
Germany,Denmark,DEU,DNK,51,9,56,10,Germany-Denmark,25
Germany,Estonia,DEU,EST,51,9,59,26,Germany-Estonia,2
